City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nyaunglebin,MM,75.72,overcast clouds,17.95,96.7333,Thi ha
10,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Luganville,VU,79.3,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
13,Piacabucu,BR,77.13,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
14,Kapaa,US,79.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Korla,CN,79.75,overcast clouds,41.7597,86.1469,Gulisitan Hotel
18,Saint George,US,76.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
21,Jamestown,US,87.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
29,Bengkulu,ID,75.38,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Hithadhoo,MV,83.59,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Elat,IL,86.07,clear sky,29.5581,34.9482,Club Hotel Eilat
39,Sinnamary,GF,79.43,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
41,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Bethel,US,89.19,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
44,Sur,OM,88.39,clear sky,22.5667,59.5289,Sur Plaza Hotel
47,Faanui,PF,80.1,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Salinas,US,80.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
54,Bhadasar,IN,86.85,clear sky,28.2833,74.3167,OMPRAKASH JAKHAR
58,Acapulco,MX,86.74,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
71,Sao Miguel Do Araguaia,BR,88.54,clear sky,-13.275,-50.1628,Hotel Executivo Palace
78,Oussouye,SN,82.58,overcast clouds,12.485,-16.5469,Auberge du Routard
79,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
85,Dalbandin,PK,78.75,clear sky,28.8947,64.4101,Sanjrani House
87,Kahului,US,80.83,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
92,Roura,GF,76.96,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
93,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
97,Butaritari,KI,81.57,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
99,Dingle,PH,76.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
100,Tamandare,BR,77.83,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
105,Balkanabat,TM,82.36,clear sky,39.5108,54.3671,Nebitchi Hotel
107,Singaraja,ID,78.96,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
