City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vierzon,FR,47.2101,2.0625,64.99,56,80,5.46,broken clouds
1,Nyaunglebin,MM,17.95,96.7333,75.72,95,100,4.45,overcast clouds
2,Kimbe,PG,-5.5502,150.1429,74.59,92,99,3.11,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,59.94,43,100,9.53,overcast clouds
4,Mnogovershinnyy,RU,53.9353,139.9242,49.06,82,100,2.33,overcast clouds
5,Great Yarmouth,GB,52.6083,1.7305,54.01,73,100,12.3,overcast clouds
6,Khatanga,RU,71.9667,102.5,29.43,84,57,7.81,broken clouds
7,Albany,US,42.6001,-73.9662,89.17,47,63,8.01,broken clouds
8,Benemerito De Las Americas,MX,16.5167,-90.6439,90.95,48,100,3.53,overcast clouds
9,Dikson,RU,73.5069,80.5464,27.84,96,100,6.58,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,80.56,81,92,10.18,overcast clouds
11,Grand Gaube,MU,-20.0064,57.6608,72.37,75,96,5.01,overcast clouds
12,Luganville,VU,-15.5333,167.1667,79.3,84,39,4.92,scattered clouds
13,Piacabucu,BR,-10.4056,-36.4344,77.13,89,100,11.25,overcast clouds
14,Kapaa,US,22.0752,-159.319,79.48,75,74,3.0,broken clouds
15,Barrow,US,71.2906,-156.7887,32.02,80,100,12.66,overcast clouds
16,Farafangana,MG,-22.8167,47.8333,66.54,77,0,4.72,clear sky
17,Korla,CN,41.7597,86.1469,79.75,18,100,15.26,overcast clouds
18,Saint George,US,37.1041,-113.5841,76.62,14,0,10.36,clear sky
19,Busselton,AU,-33.65,115.3333,52.09,86,0,7.81,clear sky
20,Baoqing,CN,46.3317,132.2111,52.25,93,100,9.98,light rain
21,Jamestown,US,42.097,-79.2353,87.53,51,0,11.5,clear sky
22,East London,ZA,-33.0153,27.9116,57.58,57,100,6.78,overcast clouds
23,Rocha,UY,-34.4833,-54.3333,47.32,64,100,13.04,overcast clouds
24,Gudalur,IN,9.6833,77.2667,72.34,92,100,6.46,overcast clouds
25,Atuona,PF,-9.8,-139.0333,77.88,77,77,12.21,light rain
26,Upernavik,GL,72.7868,-56.1549,30.11,79,25,15.08,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,51.48,94,100,3.49,overcast clouds
28,Zyryanka,RU,65.75,150.85,56.64,59,100,3.42,overcast clouds
29,Bengkulu,ID,-3.8004,102.2655,75.38,91,19,3.89,few clouds
30,Hithadhoo,MV,-0.6,73.0833,83.59,68,99,12.28,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,44.26,81,75,25.32,light intensity drizzle
32,Talnakh,RU,69.4865,88.3972,33.21,83,3,6.8,clear sky
33,Xining,CN,36.6167,101.7667,53.2,53,100,3.13,overcast clouds
34,Pisco,PE,-13.7,-76.2167,69.03,77,79,8.55,broken clouds
35,Elat,IL,29.5581,34.9482,86.07,29,0,9.31,clear sky
36,Katsuura,JP,35.1333,140.3,64.42,88,100,10.78,light rain
37,Grindavik,IS,63.8424,-22.4338,48.67,100,75,9.22,fog
38,Sidney,AU,-33.8679,151.2073,51.71,72,0,11.5,clear sky
39,Sinnamary,GF,5.3833,-52.95,79.43,85,100,10.56,light rain
40,Castro,BR,-24.7911,-50.0119,62.82,96,100,8.52,overcast clouds
41,Hilo,US,19.7297,-155.09,86.29,73,36,10.0,scattered clouds
42,Saint-Philippe,RE,-21.3585,55.7679,69.39,73,44,12.48,scattered clouds
43,Bethel,US,41.3712,-73.414,89.19,53,22,3.0,few clouds
44,Sur,OM,22.5667,59.5289,88.39,41,0,17.72,clear sky
45,Tuatapere,NZ,-46.1333,167.6833,53.28,86,97,6.42,overcast clouds
46,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,20.71,clear sky
47,Faanui,PF,-16.4833,-151.75,80.1,68,57,8.59,broken clouds
48,Flinders,AU,-34.5833,150.8552,54.68,72,91,8.99,overcast clouds
49,Kijang,KR,35.2442,129.2139,64.49,79,7,4.23,clear sky
50,Salinas,US,36.6777,-121.6555,80.01,68,0,10.29,clear sky
51,Moerai,PF,-22.4333,-151.3333,74.82,55,78,16.53,broken clouds
52,Guzelyurt,TR,38.2772,34.3719,63.61,51,100,7.23,overcast clouds
53,Kidal,ML,18.4411,1.4078,94.08,25,38,9.28,light rain
54,Bhadasar,IN,28.2833,74.3167,86.85,12,0,9.01,clear sky
55,Rikitea,PF,-23.1203,-134.9692,74.62,78,39,11.77,moderate rain
56,Kaseda,JP,31.4167,130.3167,68.67,89,99,11.18,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,62.49,73,99,4.25,overcast clouds
