City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-05-30 14:54:59,-33.8667,121.9,58.19,72,100,13.09
1,Timucuy,MX,2022-05-30 14:54:59,20.8167,-89.5167,84.16,65,75,16.11
2,Busselton,AU,2022-05-30 14:54:59,-33.65,115.3333,53.78,87,1,8.12
3,Uturoa,PF,2022-05-30 14:55:00,-16.7333,-151.4333,79.66,68,93,9.71
4,Puerto Ayora,EC,2022-05-30 14:55:00,-0.7393,-90.3518,73.36,85,99,10.16
5,Tevaitoa,PF,2022-05-30 14:55:00,-16.7833,-151.5,79.59,68,94,9.71
6,Atuona,PF,2022-05-30 14:55:01,-9.8,-139.0333,77.79,75,89,13.56
7,Arraial Do Cabo,BR,2022-05-30 14:55:01,-22.9661,-42.0278,80.56,73,0,14.97
8,Albany,US,2022-05-30 14:51:38,42.6001,-73.9662,78.62,63,56,2.64
9,Qaanaaq,GL,2022-05-30 14:55:01,77.484,-69.3632,26.26,79,100,7.4
10,Hovd,MN,2022-05-30 14:55:02,48.0056,91.6419,65.26,24,99,6.55
11,Ushuaia,AR,2022-05-30 14:52:49,-54.8,-68.3,42.46,87,75,25.32
12,Hasaki,JP,2022-05-30 14:55:02,35.7333,140.8333,66.6,84,100,16.35
13,Khatanga,RU,2022-05-30 14:55:03,71.9667,102.5,30.72,85,76,9.62
14,Balakhninskiy,RU,2022-05-30 14:55:03,58.0106,114.2769,43.48,83,84,1.52
15,Santiago Del Estero,AR,2022-05-30 14:53:11,-27.7951,-64.2615,52.45,26,100,7.78
16,Hobart,AU,2022-05-30 14:55:03,-42.8794,147.3294,43.05,88,91,9.22
17,Ribeira Grande,PT,2022-05-30 14:55:04,38.5167,-28.7,61.2,88,75,31.07
18,Morondava,MG,2022-05-30 14:51:03,-20.2833,44.2833,77.29,65,0,16.28
19,Fortuna,US,2022-05-30 14:55:04,40.5982,-124.1573,51.93,89,75,5.75
20,Sioux Lookout,CA,2022-05-30 14:55:05,50.1001,-91.917,59.07,100,100,6.91
21,Vaini,TO,2022-05-30 14:55:05,-21.2,-175.2,73.56,94,40,1.14
22,Tazovskiy,RU,2022-05-30 14:55:05,67.4667,78.7,39.79,68,22,18.68
23,Yellowknife,CA,2022-05-30 14:53:32,62.456,-114.3525,46.92,57,20,5.75
24,Kudamatsu,JP,2022-05-30 14:55:06,34.0,131.8667,66.16,98,100,5.68
25,Yumen,CN,2022-05-30 14:55:06,40.2833,97.2,75.24,11,85,9.78
26,Jabinyanah,TN,2022-05-30 14:55:06,35.035,10.9081,93.0,42,75,16.11
27,Chuy,UY,2022-05-30 14:55:07,-33.6971,-53.4616,48.99,56,1,15.68
28,Punta Arenas,CL,2022-05-30 14:51:31,-53.15,-70.9167,44.71,76,0,20.71
29,Weihe,CN,2022-05-30 14:55:07,32.9952,105.3247,62.15,80,100,2.26
30,Georgetown,MY,2022-05-30 14:55:08,5.4112,100.3354,78.73,94,40,7.0
31,Chunhuhub,MX,2022-05-30 14:55:08,19.55,-88.6833,79.07,78,94,5.7
32,Bredasdorp,ZA,2022-05-30 14:55:09,-34.5322,20.0403,59.86,42,65,18.43
33,Guerrero Negro,MX,2022-05-30 14:55:09,27.9769,-114.0611,62.58,70,60,16.71
34,Bluff,NZ,2022-05-30 14:55:09,-46.6,168.3333,53.8,85,63,8.81
35,Nikolskoye,RU,2022-05-30 14:55:10,59.7035,30.7861,69.69,49,73,8.43
36,Anshun,CN,2022-05-30 14:55:10,26.25,105.9333,60.28,85,7,5.01
37,Chapais,CA,2022-05-30 14:54:46,49.7834,-74.8492,49.78,46,100,6.33
38,Kapaa,US,2022-05-30 14:55:10,22.0752,-159.319,69.12,97,20,1.01
39,Naze,JP,2022-05-30 14:55:11,28.3667,129.4833,74.32,93,100,12.26
40,Rawson,AR,2022-05-30 14:55:11,-43.3002,-65.1023,43.77,65,24,16.44
41,Denpasar,ID,2022-05-30 14:54:01,-8.65,115.2167,83.86,84,20,3.44
42,Porto Novo,BJ,2022-05-30 14:55:12,6.4965,2.6036,87.62,62,53,10.76
43,Verkhnyaya Inta,RU,2022-05-30 14:55:12,65.9811,60.3094,56.57,34,65,14.67
44,Rio Grande City,US,2022-05-30 14:55:13,26.3798,-98.8203,84.87,60,8,23.31
45,Caxito,AO,2022-05-30 14:56:13,-8.5785,13.6643,84.76,59,0,8.46
46,Butaritari,KI,2022-05-30 14:56:14,3.0707,172.7902,81.63,72,100,15.82
47,Taonan,CN,2022-05-30 14:56:14,45.3333,122.7833,53.33,49,59,7.7
48,College,US,2022-05-30 14:52:54,64.8569,-147.8028,51.91,71,20,5.75
49,Saskylakh,RU,2022-05-30 14:56:14,71.9167,114.0833,18.32,99,100,3.22
50,Kavaratti,IN,2022-05-30 14:56:15,10.5669,72.642,83.53,71,86,8.95
51,Khuzhir,RU,2022-05-30 14:56:15,53.1939,107.3397,44.58,59,61,2.59
52,Katsuura,JP,2022-05-30 14:56:15,35.1333,140.3,68.97,91,100,7.14
53,Chokurdakh,RU,2022-05-30 14:56:16,70.6333,147.9167,30.43,95,100,10.09
54,Vao,NC,2022-05-30 14:56:16,-22.6667,167.4833,74.34,82,38,8.66
55,Beyneu,KZ,2022-05-30 14:56:16,45.3167,55.2,89.29,14,0,8.41
56,Estelle,US,2022-05-30 14:56:17,29.8458,-90.1067,86.0,62,75,13.8
57,Mar Del Plata,AR,2022-05-30 14:55:48,-38.0023,-57.5575,49.08,59,40,10.36
58,Rikitea,PF,2022-05-30 14:56:17,-23.1203,-134.9692,75.42,76,45,13.24
59,Geraldton,AU,2022-05-30 14:56:18,-28.7667,114.6,55.81,67,100,10.36
60,Poum,NC,2022-05-30 14:56:18,-20.2333,164.0167,76.59,71,49,5.08
61,Muros,ES,2022-05-30 14:56:18,42.7762,-9.0603,67.08,81,100,7.63
62,Tiarei,PF,2022-05-30 14:56:19,-17.5333,-149.3333,73.42,70,85,9.17
63,Tuatapere,NZ,2022-05-30 14:56:19,-46.1333,167.6833,51.93,87,88,6.44
64,Cockburn Town,TC,2022-05-30 14:56:20,21.4612,-71.1419,84.16,65,40,13.8
65,Upernavik,GL,2022-05-30 14:56:20,72.7868,-56.1549,30.43,90,42,11.54
66,Nanortalik,GL,2022-05-30 14:56:20,60.1432,-45.2371,38.7,86,100,4.36
67,Aksu,CN,2022-05-30 14:56:21,41.1231,80.2644,73.96,33,100,24.47
68,Oneonta,US,2022-05-30 14:55:27,42.4529,-75.0638,78.3,77,75,7.0
69,Cape Town,ZA,2022-05-30 14:55:29,-33.9258,18.4232,62.28,61,75,14.97
70,Yakima,US,2022-05-30 14:54:34,46.4665,-120.6678,54.55,55,100,3.0
71,Muana,BR,2022-05-30 14:56:21,-1.5283,-49.2167,84.92,69,51,7.09
72,Aleppo,SY,2022-05-30 14:56:22,36.25,37.5,97.68,10,0,15.97
73,Port Elizabeth,ZA,2022-05-30 14:56:22,-33.918,25.5701,64.69,45,0,9.22
74,Jamestown,US,2022-05-30 14:53:47,42.097,-79.2353,79.02,56,0,10.36
75,Hithadhoo,MV,2022-05-30 14:56:23,-0.6,73.0833,84.07,67,88,11.27
76,Salalah,OM,2022-05-30 14:56:23,17.0151,54.0924,82.85,82,9,7.4
77,Yerbogachen,RU,2022-05-30 14:56:23,61.2767,108.0108,50.13,61,30,2.3
78,Carnarvon,AU,2022-05-30 14:56:24,-24.8667,113.6333,70.27,39,100,20.56
79,Portland,US,2022-05-30 14:53:26,45.5234,-122.6762,52.0,89,99,1.99
80,Calama,CL,2022-05-30 14:55:16,-22.4667,-68.9333,52.29,24,0,0.0
81,New Norfolk,AU,2022-05-30 14:56:25,-42.7826,147.0587,42.71,84,91,1.07
82,Hermanus,ZA,2022-05-30 14:56:25,-34.4187,19.2345,61.81,58,9,22.66
83,Kodiak,US,2022-05-30 14:56:25,57.79,-152.4072,45.91,93,100,0.0
84,Kaitangata,NZ,2022-05-30 14:56:26,-46.2817,169.8464,49.71,81,43,5.32
85,Bethel,US,2022-05-30 14:56:26,41.3712,-73.414,81.41,65,46,1.99
